INSTNM,CITY,STABBR,CONTROL,LATITUDE,LONGITUDE,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,DEBT_MDN,ADM_RATE,SAT_AVG,ACTCM50,UGDS
Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,2,39.150497,-92.685253,20195.0,6960.0,6960.0,48991.0,13292,0.8714,,,1807.0
Neumont College of Computer Science,Salt Lake City,UT,3,40.766096,-111.890573,39004.0,27375.0,27375.0,97827.0,,0.8924,1112.0,24.0,530.0
Roseman University of Health Sciences,Henderson,NV,2,36.073182,-115.064633,,,,120163.0,25000,,,,554.0
Ave Maria University,Ave Maria,FL,2,26.335983,-81.438945,43220.0,28222.0,28222.0,49520.0,12000,0.4481,,,1229.0
Ecclesia College,Springdale,AR,2,36.2141,-94.236643,31344.0,16850.0,16850.0,40650.0,9000,0.475,,,132.0
Los Angeles College of Music,Pasadena,CA,3,34.139293,-118.150113,50873.0,25650.0,25650.0,31758.0,17521,0.8137,,,267.0
Uta Mesivta of Kiryas Joel,Monroe,NY,2,41.333864,-74.161179,21452.0,15000.0,15000.0,31853.0,PS,,,,2729.0
Harrisburg University of Science and Technology,Harrisburg,PA,2,40.26193,-76.880261,33434.0,23900.0,23900.0,52374.0,11848,0.8178,,,650.0
United States University,San Diego,CA,3,32.761148,-117.162166,28358.0,6600.0,6600.0,80980.0,13598,,,,167.0
Eagle Gate College-Layton,Layton,UT,3,41.073374,-111.973885,,,,37518.0,20000,,,,205.0
Georgia Gwinnett College,Lawrenceville,GA,1,33.979409,-84.00459,18033.0,4458.0,13244.0,47730.0,9000,0.9557,,,11156.0
SUM Bible College and Theological Seminary,El Dorado Hills,CA,2,38.620833,-121.054758,24340.0,10460.0,10460.0,35418.0,13815,0.6421,,,312.0
Careers Unlimited,Orem,UT,3,40.275775,-111.731006,,,,30829.0,27396,,,,118.0
Strayer University-Florida,Tampa,FL,3,27.997442,-82.35991,23838.0,13920.0,13920.0,40092.0,14000,,,,1314.0
American Public University System,Charles Town,WV,3,39.287826,-77.860121,16358.0,8400.0,8400.0,44409.0,10282,,,,38976.0
Huntsville Bible College,Huntsville,AL,2,34.750363,-86.594888,17595.0,4730.0,4730.0,,28500,,,,82.0
Gnomon,Hollywood,CA,3,34.089501,-118.329083,48010.0,34215.0,34215.0,114785.0,28332,0.3968,,,302.0
Bais Medrash Toras Chesed,Lakewood,NJ,2,40.099704,-74.21127,13700.0,8100.0,8100.0,,PS,0.6301,,,125.0
University of the West,Rosemead,CA,2,34.045985,-118.082964,24944.0,14718.0,14718.0,,15000,1.0,,,41.0
American College of Education,Indianapolis,IN,3,39.76975,-86.160161,,,,,,,,,277.0
South University-Tampa,Tampa,FL,3,27.982269,-82.500357,33016.0,18238.0,18238.0,34421.0,13000,,,,390.0
Strayer University-Delaware,Wilmington,DE,3,39.743357,-75.547914,,13920.0,13920.0,40092.0,14000,,,,240.0
Strayer University-Alabama,Birmingham,AL,3,33.513375,-86.80574,23838.0,13920.0,13920.0,40092.0,14000,,,,1473.0
Columbia Southern University,Orange Beach,AL,3,30.329288,-87.653162,18002.0,5808.0,5808.0,63534.0,13980,,,,13053.0
Yeshivas Be'er Yitzchok,Elizabeth,NJ,2,40.682465,-74.213255,32040.0,11450.0,11450.0,82560.0,PS,1.0,,,52.0
Yeshiva Toras Chaim,Lakewood,NJ,2,40.098692,-74.182143,21574.0,12750.0,12750.0,62526.0,PS,0.9841,,,225.0
Talmudical Seminary of Bobov,Brooklyn,NY,2,40.634485,-73.995378,18400.0,13200.0,13200.0,22432.0,PS,0.9807,,,515.0
Patrick Henry College,Purcellville,VA,2,39.138687,-77.690939,,28425.0,28425.0,,,0.8198,1351.0,30.0,373.0
Strayer University-North Carolina,Greensboro,NC,3,36.051694,-79.882713,,13920.0,13920.0,40092.0,14000,,,,2728.0
Strayer University-New Jersey,Piscataway,NJ,3,40.554506,-74.474974,,13920.0,13920.0,40092.0,14000,,,,536.0
Chamberlain University-Illinois,Addison,IL,3,41.949727,-88.038558,36346.0,20604.0,20604.0,92405.0,16458,0.8857,868.0,16.0,12188.0
Chamberlain University-Ohio,Columbus,OH,3,40.054055,-82.912163,38833.0,19686.0,19686.0,92405.0,16458,0.75,,,336.0
Chamberlain University-Arizona,Phoenix,AZ,3,33.565758,-112.104601,39034.0,20462.0,20462.0,92405.0,16458,0.875,,,745.0
Ottawa University-Online,Overland Park,KS,2,38.932055,-94.635461,,,,55552.0,12500,,,,328.0
Aspen University,Phoenix,AZ,3,33.412164,-111.981317,,6264.0,6264.0,,7802,,,,2396.0
Denver College of Nursing,Denver,CO,3,39.75303,-104.994725,,,,81809.0,21110,,,,949.0
Yeshiva of Machzikai Hadas,Brooklyn,NY,2,40.636104,-73.990592,31390.0,10800.0,10800.0,,PS,0.6615,,,461.0
The Chicago School at Los Angeles,Los Angeles,CA,2,34.049478,-118.257045,,20844.0,20844.0,56899.0,10250,0.4017,,,324.0
Providence Christian College,Pasadena,CA,2,34.149327,-118.141062,51852.0,35147.0,35147.0,46264.0,14500,0.9252,,,144.0
Polytechnic University of Puerto Rico-Miami,Miami,FL,2,25.80915,-80.328482,,14082.0,14082.0,47540.0,12830,,,,29.0
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,2,28.55158,-81.253943,21955.0,14262.0,14262.0,47540.0,12830,,,,102.0
Strayer University-West Virginia,Scott Depot,WV,3,38.454588,-81.92619,23838.0,13920.0,13920.0,40092.0,14000,,,,377.0
University of Minnesota-Rochester,Rochester,MN,1,44.022339,-92.463471,27237.0,14400.0,14400.0,69020.0,16727,0.7183,1220.0,25.0,568.0
