INSTNM,CITY,STABBR,CONTROL,LATITUDE,LONGITUDE,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,DEBT_MDN,ADM_RATE,SAT_AVG,ACTCM50,UGDS
Divine Word College,Epworth,IA,2,42.441721,-90.934578,,15000.0,15000.0,,PS,,,,61.0
Dordt University,Sioux Center,IA,2,43.082527,-96.166562,49722.0,35960.0,35960.0,52559.0,17500,0.7116,1175.0,24.0,1547.0
Drake University,Des Moines,IA,2,41.60129,-93.652163,62407.0,49944.0,49944.0,71901.0,19500,0.6413,1288.0,27.0,2669.0
University of Dubuque,Dubuque,IA,2,42.49726,-90.693428,51060.0,40065.0,40065.0,51190.0,17070,0.8692,1119.0,23.0,1473.0
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,2,41.737082,-93.624422,30354.0,19530.0,19530.0,40650.0,8750,0.4968,1088.0,21.0,371.0
Graceland University-Lamoni,Lamoni,IA,2,40.615966,-93.924893,46850.0,33220.0,33220.0,47361.0,14209,0.8322,,,901.0
Grand View University,Des Moines,IA,2,41.620039,-93.600954,46188.0,33450.0,33450.0,52824.0,15097,0.9838,,,1472.0
Grinnell College,Grinnell,IA,2,41.747952,-92.722094,79228.0,64862.0,64862.0,62830.0,14151,0.1268,1486.0,33.0,1705.0
Iowa State University,Ames,IA,1,42.026212,-93.648504,23309.0,10497.0,27683.0,63386.0,18750,0.8913,1199.0,24.0,25033.0
University of Iowa,Iowa City,IA,1,41.661935,-91.536425,26883.0,10964.0,32927.0,64762.0,18207,0.8467,1220.0,25.0,21691.0
Loras College,Dubuque,IA,2,42.503908,-90.679023,48380.0,38298.0,38298.0,58289.0,19500,0.9183,,,1087.0
Luther College,Decorah,IA,2,43.312304,-91.802809,62845.0,50320.0,50320.0,59850.0,22200,0.7327,1238.0,26.0,1454.0
Maharishi International University,Fairfield,IA,2,41.017781,-91.967306,28730.0,16530.0,16530.0,27981.0,11558,0.969,,,774.0
Mercy College of Health Sciences,Des Moines,IA,2,41.594559,-93.626238,30844.0,17328.0,17328.0,62234.0,12500,0.9878,,,905.0
Morningside University,Sioux City,IA,2,42.473891,-96.359464,50429.0,38190.0,38190.0,55494.0,15750,0.7057,910.0,16.0,1166.0
Mount Mercy University,Cedar Rapids,IA,2,42.001931,-91.650991,52436.0,39070.0,39070.0,60787.0,18500,0.7876,1120.0,22.0,1135.0
Ashford University,San Diego,CA,3,32.8273,-117.141961,30866.0,13160.0,13160.0,35404.0,9500,,,,23734.0
University of Northern Iowa,Cedar Falls,IA,1,42.514923,-92.459703,21627.0,9728.0,21272.0,55177.0,16486,0.944,1120.0,22.0,7599.0
Northwestern College,Orange City,IA,2,42.999007,-96.058772,48447.0,35300.0,35300.0,49802.0,16791,0.8701,,,1125.0
Palmer College of Chiropractic,Davenport,IA,2,41.529021,-90.574607,,,,59483.0,7500,,,,41.0
Saint Ambrose University,Davenport,IA,2,41.54065,-90.579854,50018.0,35598.0,35598.0,59531.0,19500,0.7332,,,2101.0
Simpson College,Indianola,IA,2,41.365503,-93.563471,58937.0,46212.0,46212.0,59274.0,20262,0.8888,1410.0,31.0,1130.0
Upper Iowa University,Fayette,IA,2,42.838283,-91.799543,48422.0,19000.0,19000.0,52766.0,18000,0.9338,929.0,16.0,2021.0
Waldorf University,Forest City,IA,3,43.262923,-93.641714,38035.0,25220.0,25220.0,51165.0,12025,0.726,,,2103.0
Wartburg College,Waverly,IA,2,42.7277,-92.483387,61832.0,51040.0,51040.0,56201.0,19500,0.9941,1136.0,23.0,1446.0
William Penn University,Oskaloosa,IA,2,41.310111,-92.647095,40749.0,28750.0,28750.0,48936.0,12000,0.5701,996.0,19.0,1391.0
Baker University,Baldwin City,KS,2,38.778712,-95.187346,48117.0,33900.0,33900.0,63855.0,18530,0.921,950.0,17.0,1080.0
Benedictine College,Atchison,KS,2,39.573079,-95.113858,50820.0,34800.0,34800.0,53175.0,18570,0.7645,1244.0,26.0,2236.0
Bethany College,Lindsborg,KS,2,38.580598,-97.67367,52396.0,31946.0,31946.0,49694.0,9500,0.786,,,583.0
Bethel College-North Newton,North Newton,KS,2,38.075169,-97.343256,47672.0,34002.0,34002.0,49898.0,12000,0.957,,,499.0
Central Christian College of Kansas,McPherson,KS,2,38.357978,-97.668597,32495.0,21000.0,21000.0,44468.0,15750,,,,394.0
Emporia State University,Emporia,KS,1,38.414784,-96.179021,20527.0,7356.0,15669.0,47601.0,14000,0.9774,1090.0,21.0,2328.0
Fort Hays State University,Hays,KS,1,38.872156,-99.342503,19114.0,5633.0,16811.0,48928.0,14250,0.9177,1118.0,22.0,9792.0
Barclay College,Haviland,KS,2,37.62012,-99.105351,40190.0,26590.0,26590.0,36355.0,24320,0.5449,,,161.0
Friends University,Wichita,KS,2,37.678459,-97.367048,44401.0,32748.0,32748.0,52113.0,17413,0.5564,1014.0,19.0,1015.0
Kansas Christian College,Overland Park,KS,2,38.994848,-94.666878,21889.0,10950.0,10950.0,,7859,,,,143.0
University of Kansas,Lawrence,KS,1,38.958549,-95.247567,25215.0,11700.0,29412.0,61945.0,15500,0.882,1186.0,24.0,19857.0
Newman University,Wichita,KS,2,37.672643,-97.37768,44081.0,35500.0,35500.0,55041.0,15240,0.4761,,,857.0
Kansas State University,Manhattan,KS,1,39.188648,-96.581077,25441.0,10942.0,27816.0,57262.0,17294,0.7936,1149.0,23.0,14835.0
Kansas Wesleyan University,Salina,KS,2,38.813795,-97.607973,45683.0,33470.0,33470.0,51152.0,15000,0.8498,,,894.0
Manhattan Christian College,Manhattan,KS,2,39.184806,-96.579383,34318.0,18424.0,18424.0,48860.0,13000,1.0,1020.0,19.0,132.0
McPherson College,McPherson,KS,2,38.371422,-97.642996,48404.0,35162.0,35162.0,52084.0,13833,0.8379,1068.0,21.0,786.0
MidAmerica Nazarene University,Olathe,KS,2,38.875244,-94.781526,53495.0,36120.0,36120.0,62972.0,12912,0.7346,1016.0,19.0,977.0
Ottawa University-Ottawa,Ottawa,KS,2,38.603173,-95.264187,51340.0,35300.0,35300.0,55552.0,12500,0.8003,1011.0,19.0,935.0
Ottawa University-Kansas City,Overland Park,KS,2,38.932055,-94.635461,,,,55552.0,12500,,,,223.0
Pittsburg State University,Pittsburg,KS,1,37.392071,-94.702473,22426.0,8008.0,19692.0,50579.0,14000,0.8817,1090.0,21.0,4162.0
University of Saint Mary,Leavenworth,KS,2,39.279396,-94.906743,45313.0,33890.0,33890.0,59483.0,14817,0.8984,1047.0,20.0,889.0
Southwestern College,Winfield,KS,2,37.248608,-96.975405,53677.0,38480.0,38480.0,55646.0,12500,0.6497,,,1026.0
Sterling College,Sterling,KS,2,38.219937,-98.208644,44836.0,32200.0,32200.0,45846.0,12000,0.5303,,,569.0
Tabor College,Hillsboro,KS,2,38.34858,-97.199773,48360.0,35050.0,35050.0,54058.0,14000,0.6462,1049.0,20.0,530.0
Washburn University,Topeka,KS,1,39.033778,-95.702222,20949.0,9578.0,20582.0,49774.0,12500,,,,4093.0
Wichita State University,Wichita,KS,1,37.718882,-97.292361,21064.0,9322.0,19240.0,51532.0,14700,0.9494,1118.0,22.0,10493.0
Alice Lloyd College,Pippa Passes,KY,2,37.335087,-82.875068,30294.0,14080.0,14080.0,40573.0,7990,0.8557,980.0,18.0,528.0
Asbury University,Wilmore,KY,2,37.862029,-84.662606,46209.0,33640.0,33640.0,42368.0,17500,0.6406,,,1369.0
Bellarmine University,Louisville,KY,2,38.219279,-85.704997,60247.0,47180.0,47180.0,62069.0,20000,0.9359,1208.0,25.0,2286.0
Berea College,Berea,KY,2,37.57202,-84.292893,56068.0,49326.0,49326.0,43150.0,3516,0.3271,1248.0,26.0,1472.0
Brescia University,Owensboro,KY,2,37.769041,-87.111639,41865.0,30450.0,30450.0,45500.0,20185,0.3461,,,538.0
Campbellsville University,Campbellsville,KY,2,37.343342,-85.348943,40924.0,26990.0,26990.0,41583.0,9500,0.9833,,,2641.0
Centre College,Danville,KY,2,37.645709,-84.779392,63354.0,50550.0,50550.0,66240.0,25125,0.5434,1345.0,29.0,1346.0
Clear Creek Baptist Bible College,Pineville,KY,2,36.725236,-83.727702,20151.0,10120.0,10120.0,41623.0,PS,,,,132.0
Galen College of Nursing-Louisville,Louisville,KY,3,38.281333,-85.499039,,,,61480.0,16500,,,,4184.0
University of the Cumberlands,Williamsburg,KY,2,36.737048,-84.161646,24654.0,9875.0,9875.0,45036.0,8592,0.7139,,,5468.0
Eastern Kentucky University,Richmond,KY,1,37.740845,-84.300796,22265.0,10130.0,20820.0,45795.0,14929,0.7809,1089.0,21.0,11674.0
Georgetown College,Georgetown,KY,2,38.207615,-84.553767,56297.0,42010.0,42010.0,52074.0,13000,0.7388,1149.0,23.0,1180.0
Kentucky Mountain Bible College,Jackson,KY,2,37.603443,-83.438765,16490.0,10060.0,10060.0,21256.0,5500,0.3571,980.0,18.0,72.0
Kentucky State University,Frankfort,KY,1,38.201427,-84.855402,21023.0,9214.0,13260.0,36382.0,12250,0.9255,910.0,16.0,1317.0
Kentucky Wesleyan College,Owensboro,KY,2,37.744489,-87.119658,43981.0,33393.0,33393.0,46747.0,11000,0.67,1043.0,20.0,794.0
University of Kentucky,Lexington,KY,1,38.038911,-84.504747,32291.0,13212.0,33406.0,59025.0,16750,0.9238,1213.0,25.0,23189.0
Kentucky Christian University,Grayson,KY,2,38.338805,-82.945561,38893.0,25000.0,25000.0,42375.0,8510,0.6238,1044.0,20.0,438.0
Lindsey Wilson College,Columbia,KY,2,37.101502,-85.299997,39568.0,27274.0,27274.0,41129.0,11514,,,,1649.0
University of Louisville,Louisville,KY,1,38.216862,-85.760412,30843.0,12828.0,29174.0,53899.0,13750,0.8054,1147.0,23.0,14187.0
Midway University,Midway,KY,2,38.146126,-84.678142,41400.0,26080.0,26080.0,44246.0,12470,0.9518,1145.0,23.0,1250.0
Morehead State University,Morehead,KY,1,38.186768,-83.434021,22758.0,9838.0,14706.0,43197.0,14705,0.8212,,,4689.0
Murray State University,Murray,KY,1,36.612419,-88.323629,21475.0,9708.0,19452.0,44737.0,15000,0.8617,1110.0,22.0,6646.0
Northern Kentucky University,Highland Heights,KY,1,39.029714,-84.463483,19471.0,10896.0,21480.0,50220.0,15159,0.9603,1114.0,22.0,8065.0
University of Pikeville,Pikeville,KY,2,37.479232,-82.521063,33271.0,24150.0,24150.0,48231.0,12467,,,,1140.0
The Southern Baptist Theological Seminary,Louisville,KY,2,38.248216,-85.687649,,13086.0,13086.0,,PS,0.9689,1118.0,22.0,844.0
Spalding University,Louisville,KY,2,38.242407,-85.757725,43474.0,27850.0,27850.0,49438.0,20500,0.9864,1014.0,19.0,597.0
Thomas More University,Crestview Hills,KY,2,39.022963,-84.568923,46342.0,38400.0,38400.0,59384.0,14376,0.9703,1140.0,23.0,1305.0
Transylvania University,Lexington,KY,2,38.052983,-84.493202,58863.0,44980.0,44980.0,54705.0,20000,0.8499,1285.0,27.0,1014.0
Union College,Barbourville,KY,2,36.870875,-83.888477,44375.0,30946.0,30946.0,42002.0,14250,0.5504,965.0,17.0,736.0
Western Kentucky University,Bowling Green,KY,1,36.985035,-86.456828,23520.0,11436.0,27000.0,43889.0,14702,0.9705,977.0,18.0,12267.0
Centenary College of Louisiana,Shreveport,LA,2,32.483335,-93.730834,57929.0,40000.0,40000.0,50330.0,15250,0.5442,1171.0,24.0,615.0
Dillard University,New Orleans,LA,2,29.996587,-90.06464,36057.0,22194.0,22194.0,39196.0,23048,0.4051,1089.0,21.0,1111.0
Grambling State University,Grambling,LA,1,32.523797,-92.713245,25100.0,7683.0,16706.0,41109.0,24500,0.2368,955.0,17.0,4144.0
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,1,29.957272,-90.083145,,,,78495.0,18500,,,,843.0
Louisiana State University-Alexandria,Alexandria,LA,1,31.178616,-92.414409,15540.0,7050.0,14650.0,42205.0,10500,0.9263,1048.0,20.0,4414.0
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,1,30.414986,-91.178921,34328.0,11954.0,28631.0,61251.0,12956,0.74,1248.0,26.0,29207.0
Louisiana State University-Shreveport,Shreveport,LA,1,32.428465,-93.70561,19233.0,7327.0,20481.0,47477.0,15000,0.8272,1119.0,22.0,2150.0
Louisiana Christian University,Pineville,LA,2,31.324528,-92.425973,30564.0,19740.0,19740.0,51700.0,11000,0.8379,,,750.0
Louisiana Tech University,Ruston,LA,1,32.528297,-92.649963,24405.0,10125.0,16866.0,52279.0,15000,0.7257,1190.0,24.0,7819.0
Loyola University New Orleans,New Orleans,LA,2,29.936141,-90.120417,61837.0,47240.0,47240.0,52927.0,18500,0.8772,,,2999.0
McNeese State University,Lake Charles,LA,1,30.178187,-93.217222,21168.0,8460.0,9960.0,46453.0,13000,0.6755,1080.0,21.0,4846.0
University of New Orleans,New Orleans,LA,1,30.027704,-90.067142,22605.0,9172.0,14008.0,47872.0,11000,0.6677,1056.0,20.0,4479.0
Nicholls State University,Thibodaux,LA,1,29.794486,-90.801571,21519.0,8173.0,9266.0,45454.0,13156,0.9602,1088.0,21.0,4772.0
University of Louisiana at Monroe,Monroe,LA,1,32.527748,-92.07374,23552.0,9190.0,21290.0,46769.0,15000,0.7456,1102.0,21.0,4891.0
Northwestern State University of Louisiana,Natchitoches,LA,1,31.750666,-93.097797,24496.0,8864.0,19652.0,47021.0,15000,0.9374,1090.0,21.0,5840.0
University of Holy Cross,New Orleans,LA,2,29.912003,-89.99445,28380.0,16160.0,16160.0,49316.0,19500,0.9901,,,405.0
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,2,30.401379,-91.110587,27314.0,15690.0,15690.0,59419.0,16669,0.8294,,,826.0
Saint Joseph Seminary College,St. Benedict,LA,2,30.526778,-90.113621,43395.0,26770.0,26770.0,38366.0,PS,,,,91.0
Southeastern Louisiana University,Hammond,LA,1,30.514652,-90.468676,22647.0,8373.0,20851.0,46482.0,11077,0.9428,1090.0,21.0,9514.0
Southern University and A & M College,Baton Rouge,LA,1,30.524558,-91.190105,26076.0,9940.0,17198.0,43371.0,15455,0.4987,938.0,17.0,5323.0
Southern University at New Orleans,New Orleans,LA,1,30.026162,-90.044912,20893.0,7490.0,16390.0,34042.0,19500,0.6021,910.0,16.0,1095.0
University of Louisiana at Lafayette,Lafayette,LA,1,30.212191,-92.020165,24631.0,10418.0,24146.0,47089.0,14991,0.8883,1219.0,25.0,12269.0
Tulane University of Louisiana,New Orleans,LA,2,29.940069,-90.122144,83761.0,65538.0,65538.0,63268.0,19250,0.1459,1443.0,32.0,7759.0
Xavier University of Louisiana,New Orleans,LA,2,29.964162,-90.107307,39183.0,27868.0,27868.0,52184.0,14000,0.7448,1077.0,21.0,2534.0
College of the Atlantic,Bar Harbor,ME,2,44.395258,-68.221517,56334.0,46179.0,46179.0,40264.0,17723,0.6502,,,358.0
Bates College,Lewiston,ME,2,44.105299,-70.203333,80440.0,63478.0,63478.0,69498.0,12442,0.1302,1446.0,32.0,1753.0
Bowdoin College,Brunswick,ME,2,43.907134,-69.963942,80390.0,64910.0,64910.0,82735.0,12000,0.0802,1514.0,34.0,1846.0
Colby College,Waterville,ME,2,44.564211,-69.66337,81550.0,66600.0,66600.0,80490.0,15000,0.0683,1500.0,33.0,2282.0
University of Maine at Augusta,Augusta,ME,1,44.337746,-69.796396,18813.0,8618.0,21548.0,40342.0,13215,,,,2759.0
University of Maine at Farmington,Farmington,ME,1,44.666911,-70.147121,24103.0,10989.0,23079.0,44433.0,16722,0.9763,1040.0,,1131.0
University of Maine at Fort Kent,Fort Kent,ME,1,47.250389,-68.589319,18532.0,9045.0,14325.0,51077.0,12778,0.9907,,,638.0
University of Maine,Orono,ME,1,44.899257,-68.669332,26418.0,12606.0,35346.0,48653.0,16750,0.9571,,,8341.0
Maine Maritime Academy,Castine,ME,1,44.389654,-68.804347,30166.0,14746.0,30226.0,89964.0,26812,0.614,1185.0,26.0,888.0
University of Maine at Presque Isle,Presque Isle,ME,1,46.672285,-68.016343,18663.0,8990.0,14270.0,40956.0,8275,0.9709,,,1362.0
University of New England,Biddeford,ME,2,43.458591,-70.38535,60706.0,42550.0,42550.0,55921.0,20000,0.8884,,,2189.0
Maine College of Art & Design,Portland,ME,2,43.655743,-70.261015,57027.0,41398.0,41398.0,40778.0,19000,0.7755,,,415.0
Saint Joseph's College of Maine,Standish,ME,2,43.826314,-70.483373,58452.0,42834.0,42834.0,59045.0,19576,0.8172,1030.0,,930.0
University of Southern Maine,Portland,ME,1,43.662863,-70.274247,21381.0,10920.0,27104.0,49958.0,12887,0.7931,1130.0,25.0,4245.0
Thomas College,Waterville,ME,2,44.524909,-69.664734,43757.0,30896.0,30896.0,44991.0,20000,0.9707,,,688.0
Unity Environmental University,New Gloucester,ME,2,43.905745,-70.257277,20915.0,12640.0,12640.0,37852.0,4752,0.818,,,5619.0
University of Baltimore,Baltimore,MD,1,39.305834,-76.616591,27477.0,9772.0,23490.0,61335.0,18972,0.8555,1060.0,,1276.0
Bowie State University,Bowie,MD,1,39.018185,-76.759721,24302.0,8999.0,19889.0,54537.0,12861,0.8354,935.0,,5207.0
Capitol Technology University,Laurel,MD,2,39.046673,-76.850231,40900.0,27318.0,27318.0,85035.0,12000,0.7794,,,259.0
Washington Adventist University,Takoma Park,MD,2,38.986349,-77.000608,34570.0,25200.0,25200.0,64249.0,22750,0.4536,920.0,,522.0
Coppin State University,Baltimore,MD,1,39.311258,-76.658687,20152.0,7001.0,13789.0,46490.0,15606,0.4956,,,1756.0
Frostburg State University,Frostburg,MD,1,39.650918,-78.934293,26500.0,9998.0,25180.0,55493.0,14867,0.8944,,,2849.0
Goucher College,Baltimore,MD,2,39.410175,-76.594843,68893.0,51250.0,51250.0,53023.0,17882,0.729,1225.0,27.0,948.0
Hood College,Frederick,MD,2,39.420631,-77.419049,59174.0,45870.0,45870.0,57089.0,18185,0.7813,,,1202.0
Johns Hopkins University,Baltimore,MD,2,39.328977,-76.621595,81300.0,63340.0,63340.0,87555.0,9000,0.0756,1553.0,35.0,5617.0
Loyola University Maryland,Baltimore,MD,2,39.346358,-76.621872,71606.0,55480.0,55480.0,82652.0,23882,0.7633,1292.0,30.0,3975.0
University of Maryland Global Campus,Adelphi,MD,1,38.912706,-76.847584,19790.0,7992.0,12336.0,65287.0,10500,,,,48238.0
University of Maryland Baltimore,Baltimore,MD,1,39.286864,-76.623983,,,,88174.0,15000,,,,959.0
University of Maryland-Baltimore County,Baltimore,MD,1,39.256686,-76.711607,27935.0,12952.0,30308.0,69960.0,15750,0.7424,1299.0,27.0,10434.0
University of Maryland-College Park,College Park,MD,1,38.988178,-76.944721,28073.0,11505.0,40306.0,82860.0,17000,0.4484,1463.0,33.0,30246.0
Maryland Institute College of Art,Baltimore,MD,2,39.308792,-76.621033,71366.0,55150.0,55150.0,45212.0,16250,0.7729,1207.0,28.0,1319.0
University of Maryland Eastern Shore,Princess Anne,MD,1,38.207386,-75.686852,27799.0,8898.0,19728.0,47697.0,18500,0.9036,,,2165.0
Morgan State University,Baltimore,MD,1,39.344161,-76.585565,24778.0,8118.0,18800.0,50698.0,19500,0.8296,984.0,19.0,8293.0
Mount St. Mary's University,Emmitsburg,MD,2,39.681705,-77.351887,62078.0,47240.0,47240.0,64072.0,15000,0.7186,1141.0,23.0,1806.0
Ner Israel Rabbinical College,Baltimore,MD,2,39.388021,-76.753526,25650.0,14400.0,14400.0,66330.0,PS,0.7941,,,292.0
Notre Dame of Maryland University,Baltimore,MD,2,39.350612,-76.619739,60362.0,41910.0,41910.0,65344.0,17990,0.8649,,,684.0
Salisbury University,Salisbury,MD,1,38.34648,-75.604815,26134.0,10638.0,21332.0,61515.0,15750,0.8863,1250.0,26.0,6056.0
St. Mary's College of Maryland,St. Mary's City,MD,1,38.188047,-76.430994,31319.0,15236.0,31312.0,60110.0,17000,0.7539,1232.0,28.0,1566.0
St. John's College,Annapolis,MD,2,38.981598,-76.491359,52683.0,39126.0,39126.0,51584.0,19500,0.4429,1381.0,31.0,488.0
Towson University,Towson,MD,1,39.393622,-76.611164,26621.0,11306.0,28326.0,64390.0,15362,0.828,1166.0,25.0,16400.0
United States Naval Academy,Annapolis,MD,1,38.980507,-76.481692,,,,,,0.0936,1308.0,28.0,4465.0
Stevenson University,Owings Mills,MD,2,39.426413,-76.775809,57322.0,39708.0,39708.0,62079.0,21500,0.832,,,3027.0
Washington College,Chestertown,MD,2,39.217329,-76.06878,70191.0,54356.0,54356.0,65518.0,21000,0.6554,1274.0,28.0,890.0
McDaniel College,Westminster,MD,2,39.584231,-77.001992,62974.0,49647.0,49647.0,60663.0,15000,0.8358,,,1652.0
Hult International Business School,Cambridge,MA,2,42.369968,-71.070645,74875.0,54890.0,54890.0,,11000,0.5335,,,694.0
American International College,Springfield,MA,2,42.112346,-72.558338,55463.0,42970.0,42970.0,53124.0,21063,0.969,,,1097.0
Amherst College,Amherst,MA,2,42.372459,-72.518493,83650.0,67280.0,67280.0,77644.0,12000,0.0982,1494.0,33.0,1907.0
Anna Maria College,Paxton,MA,2,42.330542,-71.91896,61106.0,43064.0,43064.0,46651.0,17500,0.8956,,,948.0
Assumption University,Worcester,MA,2,42.294226,-71.828991,61777.0,49414.0,49414.0,74895.0,24250,0.8654,,,1664.0
Babson College,Wellesley,MA,2,42.297017,-71.264057,77248.0,56032.0,56032.0,123938.0,19000,0.1974,1435.0,31.0,2696.0
Boston Baptist College,Boston,MA,2,42.254037,-71.1103,26691.0,14304.0,14304.0,34159.0,PS,1.0,,,31.0
Bay Path University,Longmeadow,MA,2,42.055088,-72.583382,47064.0,37227.0,37227.0,55383.0,19100,0.735,,,1186.0
Bentley University,Waltham,MA,2,42.385995,-71.222839,77082.0,58150.0,58150.0,120959.0,24007,0.4844,1340.0,31.0,4288.0
Berklee College of Music,Boston,MA,2,42.346646,-71.089405,69874.0,50270.0,50270.0,33647.0,15750,0.4991,,,7510.0
Boston College,Chestnut Hill,MA,2,42.336213,-71.169242,83683.0,67680.0,67680.0,103937.0,17962,0.1565,1501.0,34.0,9865.0
Boston University,Boston,MA,2,42.351118,-71.107942,82694.0,65168.0,65168.0,83238.0,21500,0.1085,1473.0,33.0,17850.0
Brandeis University,Waltham,MA,2,42.365727,-71.260155,82123.0,64946.0,64946.0,77231.0,23250,0.3531,1473.0,33.0,3663.0
Bridgewater State University,Bridgewater,MA,1,41.98749,-70.974553,25164.0,11389.0,17529.0,57466.0,18746,0.8919,1127.0,21.0,7899.0
Cambridge College,Boston,MA,2,42.381091,-71.072646,,18072.0,18072.0,45998.0,14917,,,,591.0
Clark University,Worcester,MA,2,42.249987,-71.823356,64426.0,55160.0,55160.0,62381.0,22141,0.4167,1339.0,31.0,2336.0
Curry College,Milton,MA,2,42.238061,-71.116539,61556.0,46220.0,46220.0,54400.0,18320,0.9205,1130.0,,1757.0
Dean College,Franklin,MA,2,42.085634,-71.397813,62802.0,44960.0,44960.0,38109.0,12000,0.7371,,,1142.0
Eastern Nazarene College,Quincy,MA,2,42.271228,-71.011079,41948.0,28610.0,28610.0,54727.0,19500,0.5896,1035.0,,378.0
Emerson College,Boston,MA,2,42.352202,-71.065384,77153.0,55392.0,55392.0,62832.0,19000,0.4748,1359.0,31.0,4145.0
Emmanuel College,Boston,MA,2,42.340602,-71.103634,63864.0,46686.0,46686.0,68245.0,22969,0.806,1263.0,29.0,1874.0
Endicott College,Beverly,MA,2,42.553296,-70.840847,57533.0,39212.0,39212.0,58336.0,23250,0.7229,1263.0,27.0,3101.0
Fisher College,Boston,MA,2,42.355253,-71.074125,52723.0,35013.0,35013.0,49669.0,12500,0.7075,,,1138.0
Fitchburg State University,Fitchburg,MA,1,42.588298,-71.789666,24517.0,11046.0,17126.0,53874.0,18220,0.8994,1114.0,24.0,2825.0
Framingham State University,Framingham,MA,1,42.297116,-71.437565,26539.0,11630.0,17710.0,52349.0,17224,0.8487,1150.0,,2556.0
Gordon College,Wenham,MA,2,42.590567,-70.82151,41160.0,28100.0,28100.0,52119.0,23250,0.5878,1268.0,28.0,1247.0
Hampshire College,Amherst,MA,2,42.325852,-72.531469,71224.0,56630.0,56630.0,46938.0,25000,0.7035,,,716.0
Harvard University,Cambridge,MA,2,42.374471,-71.118313,82842.0,59076.0,59076.0,101817.0,12500,0.0345,1553.0,35.0,7755.0
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,2,42.317018,-71.129418,41282.0,22490.0,22490.0,51724.0,13521,0.9048,,,49.0
College of the Holy Cross,Worcester,MA,2,42.23752,-71.808214,76510.0,60850.0,60850.0,90543.0,25879,0.211,1354.0,30.0,3015.0
Lasell University,Newton,MA,2,42.342148,-71.24347,63387.0,26000.0,26000.0,49705.0,21500,0.8225,1159.0,21.0,1152.0
Lesley University,Cambridge,MA,2,42.38012,-71.117303,49226.0,32780.0,32780.0,51173.0,15000,0.9442,,,1252.0
University of Massachusetts-Lowell,Lowell,MA,1,42.652864,-71.326809,29521.0,16570.0,35396.0,64874.0,18250,0.8524,1253.0,27.0,11632.0
University of Massachusetts-Amherst,Amherst,MA,1,42.385999,-72.526728,33389.0,17357.0,39293.0,71631.0,20000,0.5777,1393.0,31.0,23694.0
University of Massachusetts-Boston,Boston,MA,1,42.312881,-71.036865,29698.0,15496.0,37174.0,65865.0,15000,0.8296,1188.0,27.0,11848.0
MCPHS University,Boston,MA,2,42.336825,-71.101244,58975.0,38850.0,38850.0,125557.0,25000,0.8521,1216.0,27.0,3474.0
Massachusetts College of Art and Design,Boston,MA,1,42.336862,-71.099275,32256.0,14960.0,42180.0,43582.0,19500,0.7747,,,1812.0
Massachusetts Institute of Technology,Cambridge,MA,2,42.359243,-71.093226,79850.0,60156.0,60156.0,143372.0,12462,0.0474,1553.0,35.0,4571.0
Massachusetts Maritime Academy,Buzzards Bay,MA,1,41.739072,-70.624084,37721.0,10816.0,23910.0,82392.0,20500,0.9455,,,1270.0
William James College,Newton,MA,2,42.294995,-71.203256,,,,,PS,,,,36.0
Merrimack College,North Andover,MA,2,42.668344,-71.124216,68089.0,51786.0,51786.0,75584.0,23750,0.7361,,,4043.0
MGH Institute of Health Professions,Boston,MA,2,42.375018,-71.054002,,,,87130.0,24700,,,,112.0
Montserrat College of Art,Beverly,MA,2,42.550212,-70.876131,56284.0,39000.0,39000.0,33022.0,23707,,,,261.0
Mount Holyoke College,South Hadley,MA,2,42.25489,-72.573916,77545.0,64142.0,64142.0,58418.0,18258,0.3829,1422.0,32.0,2198.0
The New England Conservatory of Music,Boston,MA,2,42.340946,-71.08629,77870.0,58550.0,58550.0,34483.0,19500,0.4275,,,371.0
New England College of Optometry,Boston,MA,2,42.351853,-71.086829,,,,,,,,,
Nichols College,Dudley,MA,2,42.044033,-71.930283,55871.0,40375.0,40375.0,58063.0,19500,0.8814,1110.0,,1152.0
Massachusetts College of Liberal Arts,North Adams,MA,1,42.691361,-73.102817,27705.0,11884.0,20559.0,48102.0,15750,0.9235,,,748.0
Northeastern University,Boston,MA,2,42.339992,-71.088782,81353.0,63141.0,63141.0,92538.0,22000,0.0565,1505.0,34.0,15719.0
College of Our Lady of the Elms,Chicopee,MA,2,42.141781,-72.60154,53145.0,42061.0,42061.0,51540.0,20500,0.8766,1240.0,,951.0
Regis College,Weston,MA,2,42.351291,-71.310561,64315.0,47770.0,47770.0,52873.0,23750,0.8928,,,1061.0
Saint John's Seminary,Brighton,MA,2,42.344146,-71.161998,,,,,PS,,,,14.0
Salem State University,Salem,MA,1,42.503575,-70.890234,27615.0,11978.0,18961.0,56662.0,19500,0.9557,1090.0,,4286.0
Simmons University,Boston,MA,2,42.3393,-71.099967,63512.0,45538.0,45538.0,63494.0,21780,0.66,1332.0,29.0,1750.0
